uid	gender	age	occupation	seq
2476	1	6	1	0,0,0,0,0,0,0,0,0,0,0,0,0,3277,85,2688,503,2527,797,2615,3457,918,3346,2464,722,1755,106,433,2261,2052,1400,1368,456,1236,1783,450,1334,666,1733,1398,929,361,330,702,605,2186,669,155,349,2307,360,708,493,1303,1388,2436,1538,410,1352,1217,1215,523,93,1406,194,635,1546,1729,973,2550,887,396,930,1470,1568,2489,2034,440,1645,1507,1050,1094,1042,3252,151,1056,2694,2611,809,1138,2720,2348,1116,337,604,2991,141,2724,3059,2101
1036	1	1	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,692,106,2000,3184,3027,3226,2935,3165,2981,3122,2922,3383,992,2435,2826,1042,1056,1084,246,1114,2261,1375,2307,1436,2541,971,578,1190,1748,1368,1208,2648,1830,2810,2092,298,3292,1739,1204,1473,1206,319,2481,2149,162,1755,1103,140,1068,2910,1483,1891
3472	0	1	7	17,510,451,491,1852,511,424,2885,1465,1115,1461,1375,247,1509,388,1188,2910,84,255,1030,1034,1552,2657,1112,205,445,2891,165,485,1837,482,275,755,81,328,358,1039,1038,564,1443,843,1637,2544,1771,3044,2376,561,137,1244,56,3139,1235,268,441,350,46,3282,2710,1109,566,2004,1613,345,1879,3094,3491,3467,2663,2423,2239,3383,2784,1340,2802,2831,3149,2771,49,1354,614,3460,2828,11,3495,3123,1271,2949,3476,805,804,800,1044,3480,2735,2056,2809,3441,2508,924,3529
5356	0	4	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,2696,793,107,3272,1510,154,1027,3080,233,1437,1223,2283,2660,1109,223,166,1023,21,2765,662,526,2021,668,2004,1371
2092	1	2	6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,107,2477,2873,106,1103,797,2464,2527,2814,1128,2508,1994,1885,561,918,1019,1113,456,1105,1371,1456,69,3510,3028,3507,2335,3229,2153,3068,3503,2465,1345,228
5213	1	4	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,1035,1075,3006,3231,2689,2941,1096,759,3077,1082,2806,1124,1070,1950,2527,657,2660,1138,1144,963,1225,1071,1047,1078,1116,279,1045,1457,2587,2047,858,246,564,32,1107,1136,17,2635,2633,2984,2065,1407,503,2095,300,2623,1,2771,1340,1424,485,2375
3970	1	2	7	702,842,759,2630,1133,246,812,2477,564,3039,1065,1046,1044,1053,999,1113,1076,576,1106,1110,1059,963,279,1225,829,1047,2261,1043,1074,718,1103,1326,1375,2802,2618,2986,1126,803,2614,1052,433,791,140,223,1061,1615,2857,2732,528,3424,276,2755,2030,1651,2004,1974,1465,949,1456,239,891,3094,1422,16,68,1105,1497,361,427,358,92,745,1233,1119,1500,756,1227,2521,1041,218,3399,457,1880,519,2105,2681,10,1918,2112,133,1840,720,334,1637,2739,2819,7,493,271,353
5880	1	4	13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1237,326,2464,1100,794,3112,2095,1120,1079,2986,34,1023,836,1043,2585,2470,800,835,911,951,560,2988,2477,622,1825,952,1113,3137,2857,1148,2827,953,1109,2696,1072,2811,2054,3162,1066,2051,2105,3147,3184,3218
751	1	3	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,2744,1056,1225,999,1120,2477,1114,1148,953,503,300,279,1483,106,36,2802,3006,1974,61,32
500	1	2	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,1119,1088,1040,416,3038,2262,2012,2188,1049,2200,3508,1279,992,1849,1858,2728,386,1632,411,1066,614,300,106,1407,1089,1103,3376,1092,3512,2630,1128,3094,994,1019,526,3383,3346,1693,2154,3497,612,3068,3146,1130,3510,347,2980,1345,2536,1313,2892,383,1640,1791,3053,1096,1111,3279,802,1104,517,811,2963,2650,947,2400,1911,3301,1510,154,1178
943	0	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,257,812,503,759,1067,246,1755,564,300,1042,1490,1044,50,999,2002,808,517,2461,1140,1083,36,1132,2283,1109,953,1192,1046,1060,1114,1045,2771,1,3267,32,119,1103,2435,424,212,1642,2987,283,2559,2024,1683,2047,39,526,2585,1424,2623,1724,563,537,57,992,1955,451,2375,1651,1188,2021,2718,3454,318,3158,1413,1033,2468,971,388,1236,2814,1255,2650,2366,1061,2470,473,2141,1695,2029,1834,3137
4362	1	2	5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401,1862,1040,843,3173,1096,3053,811,802,517,1630,3033,907,289,860,1063,764,2517,815,3084,1054,50,1045,180,3114,2050,2880,1104
1391	0	3	15	1109,765,1491,25,968,1121,510,1452,1030,1627,2527,2740,2660,1004,674,1069,3047,1340,1992,1271,1123,2021,3307,1615,338,223,212,2054,1642,2560,1533,1424,576,279,2269,1313,2236,1837,1884,47,300,503,2279,491,36,2899,1502,2024,2630,879,3036,2197,1346,2668,2362,2576,1461,2762,1751,283,2718,3308,2029,2033,1644,1420,1490,1188,511,514,2757,1994,986,2910,318,1034,32,2399,1465,2803,1112,562,3480,3485,3490,3529,3373,3094,3344,3441,3027,2949,3121,3184,3126,3346,3341,3146,3145,2837
2891	1	3	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,2465,461,999,1122,1103,954,1109,1114,3267,1138,2585,561,1060
2342	1	5	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,801,1954,1681,1689,952,1067,759,1692,1946,3109,1074,1919,2651,799,2694,798,1120,1148,1691,2539,2734,1075,1138,1079,2883,2614,2616,2611,3252,2615,246,1682,1218,2066,1046,1084,1044,919,1135,1066
122	1	6	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,1177,2758,2004,2764,503,1433,1192,3036,2736,1475,625,507,2579,1059,968,34,1027,2780
1924	1	2	20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,793,1746,1058,812,1064,1065,2746,1218,117
4656	1	2	19	759,279,1071,564,1044,2618,3184,1727,3297,1131,3383,1400,2583,1119,498,469,2654,1334,1682,3235,2648,2895,1368,974,3239,1208,2219,1918,1378,702,2319,2109,1645,298,2108,1217,93,1382,360,44,1381,2110,2103,949,29,2540,994,3507,1840,3449,50,963,1093,2814,47,2911,1694,165,1456,1420,1483,1413,505,477,969,1024,491,2623,700,151,203,2803,2757,388,84,1436,2375,1037,507,986,326,528,593,217,723,1837,514,1985,2891,1300,224,1495,557,101,1352,1570,1335,1298,2649,2726
5164	1	2	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,2814,2958,3027,2660,279,564,1092,517,679,2434,1043,276,1117,963,2668,2982,3344,1045,651,2663,3373,3114,3444,3529,3184,1681,576,2830,2368,3132,2680,1145,3085,2261,29,813,1060,671,1436,1649,1865,1334,1375,1061,2632,1830,1748
858	1	4	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,246,1075,1136,3115,2527,1042,2850,2847,1649,485,1870,1142,2731,1821,1461,3529,797,3344,526,561,1126,1885,1693
2818	1	1	20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436,2669,2668,1043,29,1135,563,1459,1840,2827,330,1732,2821
1944	1	6	17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1689,759,1151,1067,2364,3346,1740,2347,2095,2828,3004,337,1109,1833,1340,2004,564,1059,300,1755,2696
2203	1	2	5	3159,912,1824,1808,1213,2608,104,3203,1050,1042,801,1094,809,1086,2559,858,2845,106,1056,2798,3252,1030,2720,1236,337,246,1044,759,1067,1084,2944,919,1218,761,3024,433,1135,3036,1682,1919,2614,1400,3184,3226,456,2318,2102,108,3138,1190,10,2186,275,310,2092,3121,3383,1798,1113,3039,2745,793,792,802,3006,2166,1388,1054,1106,2990,3457,1110,3277,562,570,3119,2100,349,50,1192,1111,576,3161,1457,2584,1935,2443,2827,707,2650,34,794,2369,3496,3322,351,1673,977,2461,2788
1262	0	1	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,3146,1710,1724,3110,1179,1235,2738,3375,2419,239,1488,2384,1832,2658,2393,2038,2527
35	1	2	3	433,1084,765,2802,450,2090,1400,1981,1991,2631,3161,1457,358,330,1843,3138,6,966,430,217,2437,2895,2758,3355,1203,666,154,2234,1783,10,1548,1428,2052,155,2034,1492,3027,1639,517,246,759,1044,530,919,1682,1919,1108,2224,3297,974,2318,1207,2761,563,3235,2615,3182,1728,2475,2652,1978,1740,275,483,2297,349,1388,1398,3093,1136,7,1047,1218,1135,1840,2618,1892,1640,2648,188,1003,554,531,2797,1038,2984,528,1127,3416,2447,1975,1480,3376,2068,2826,279,233,566,1110,1139
5530	1	3	7	1491,2828,2771,2283,1,2094,1694,940,2811,1362,1371,338,2560,2443,490,646,326,1364,361,515,1651,1028,756,793,107,792,1177,2436,1755,279,1239,140,2703,966,2434,1313,410,2363,2986,1151,2464,2477,1132,2730,1955,3281,1875,810,1806,1114,1789,2582,1869,3211,2048,2698,1446,2470,2162,1899,1825,1693,1738,1686,3135,1836,1088,1136,1079,954,3115,1138,2696,3267,999,1122,1834,951,2335,3039,2756,2650,1044,1042,1840,1721,2584,1084,1991,1457,2758,1046,3279,1070,2747,1074,1143,1685,1747,1076
2538	1	1	0	1285,563,941,69,22,1981,1646,1729,410,3338,2253,1270,143,245,503,2402,300,1042,564,279,2527,3480,2477,1755,1107,246,971,517,2261,561,1046,1114,1118,2224,32,1375,3383,3138,3294,992,2318,2319,1368,2827,1334,3293,1205,3339,1738,1510,2307,1841,1459,1771,710,1779,3449,1830,1208,1606,1819,702,1345,2127,298,920,1645,2396,480,162,1566,186,2859,567,674,2771,566,1,905,912,1803,2650,1806,560,1864,2093,1810,345,1812,1866,612,915,2693,1233,908,705,647,1815,1759,913
947	1	3	2	1148,999,3042,3115,1136,1120,2660,1132,2464,953,3132,98,2905,2024,782,1885,1911,107,564,674,1926,1058,1104,797,1065,793,1111,1096,819,813,817,50,576,233,3322,3436,1901,47,1649,3229,2185,812,759,735,1082,3324,2587,1067,2789,3279,503,1053,1095,1143,924,2405,1074,3480,1078,809,2640,2576,2851,212,3153,221,2033,802,1740,1027,799,2987,2477,2461,1088,2771,2988,3408,1036,1133,554,979,1039,1587,2706,1124,1071,2850,3157,801,1800,1091,808,1054,1059,2746,1086,1603,3329,300
786	0	3	14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,809,2130,300,2757,2261,1413,2095,1570,515,1428,1548,331,1485,1851,605,578,1042,971,1748,3274,1040,1053,759,2752,1071,801,2802,2097,1483,842,564,812,1673,47,1079,1974,2584,2987,2437,1409,793,858,246,2435,792,1140,1126,3346,1724,911,1476,567,1805,813,2255,1135,1168,1651,3027,566,1130,337,918,3069,1675,2526,1806,1812,2719,905,647,1862,791
3971	0	2	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,801,1334,246,1737,679,1042,517,2632,561,1060,1023,3298,1052,1045,1077,3297,1046,1114,1084,1991,2261,2224,2223,50,576,625,1096,1058,1926,797,564,1111,1093,1911,793,1108,809,1043,422,2368
4514	1	3	7	363,2027,309,2466,1517,575,1110,2100,2851,1084,919,1046,3116,3355,992,1721,2244,564,2435,1407,50,963,1192,1093,1569,276,1578,2895,559,1783,316,1649,47,154,430,2381,1515,1388,1279,1548,2758,3138,1991,1969,2434,1636,560,345,612,892,1863,890,1816,914,971,1806,1822,1848,1789,1027,3119,2696,2588,2222,2618,3277,1047,2589,1052,2569,3085,2318,1060,2223,2227,2226,2225,1204,2691,2224,2246,1233,595,3256,3320,2065,1066,1064,2739,1077,2573,1114,1042,1043,3184,3383,2380,2827,792,3042
62	1	1	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1465,1056,1755,2580,3383,1244,2375,2435,1840,1135,298,1061,2397,106,3184,2384,2912,1488,1235,1515,3165
3208	1	3	15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2630,1147,858,562,1044,808,1103,1042,1135,1056,900,456,902,563,2105,1840,330
1846	1	5	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,503,2054,2814,3146,1111,831,2381,1533,2386,576,1020,1899,1103,1613,3307,800
1217	0	1	4	289,576,300,1755,2527,1087,36,2668,25,924,267,2623,17,1994,1239,2814,34,2559,2036,1483,2029,931,2576,505,32,700,491,283,1461,1456,1224,1115,1385,1644,1401,593,968,1603,1285,235,940,16,2757,1030,106,2138,2754,2477,1075,3231,1100,999,2660,3115,2095,2283,1225,2058,954,2002,1109,2024,810,805,3039,2094,1043,1151,2585,2892,1079,2582,2988,953,1789,1313,2464,39,1955,783,1271,3267,1103,804,2375,1122,1696,2051,949,1899,2745,326,2593,3162,417,1533,68,1875,2470,537
5111	0	4	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,2434,1747,1096,802,323,1079,115,2576,290,1899,2632,2810,813,951,3085,1046,1056,2154,1375,2153,1050,801
4609	0	3	15	305,2683,1132,2527,3153,2283,1992,1004,212,1083,2024,1946,2585,2637,2986,953,21,3094,1424,759,801,3335,797,1680,977,924,1074,1001,576,564,1059,300,1385,985,25,36,1483,424,318,1456,1027,986,1994,537,700,1422,3042,3279,2680,1076,2726,1068,2586,1143,3295,2244,3281,1855,1108,2651,2599,1067,1692,1054,1116,3318,2790,2528,232,2735,1432,1039,1543,1129,2048,1693,1954,1696,2051,2077,2465,999,1075,1122,949,1088,1080,3039,3224,2335,3344,2834,657,50,2435,2019,2579,1271,1407,718
5844	1	2	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,213,35,160,1043,2380,992,2374,2527,2370,212,2443,2235,1639,2283,2364,2286,2386,2269,2390,707,2478,2408,2258,2198,2865,2282,24,3123,2094,2435,2375,2436,2771,2650,2350
140	1	2	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,916,3184,3383,279,50,300,963,2660,505,2021,2559,212,1,566,345,246,1042,3039,1044,3339,2814
184	0	4	1	265,2735,630,134,2141,338,1500,986,416,721,3110,433,3306,1426,407,2894,519,1223,2142,2386,83,2910,388,622,934,530,1265,2892,604,2272,1642,51,3044,424,1443,2803,71,1380,2891,1493,1284,2236,119,2198,1112,2711,562,402,161,941,1371,985,2133,1416,3089,2784,1880,871,2775,1626,1368,2432,1404,937,2762,348,1433,284,1957,2363,681,332,1343,2004,1326,345,271,177,2265,230,468,61,1833,456,35,219,14,2902,257,1752,2349,2886,1943,1528,320,693,614,526,1771,2240
2890	1	2	17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,1422,1056,1566,527,526,1746,246,2307,2100,622,6,2541,2397,1981,2738,2954,1651,2360,2370,107,2376,32,1371,106,2559,2859,1210,143,563,1358,1840,1135,1044,954,999,953,47,565,1624,1491,561,1084,1636,2436,334,252,326,560,2226,3091,2225,87,517,3267,905,409,1380,218,2228,1119,381,2167,775,657,949,1192,510,564,1407
1136	1	2	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,971,1044,2380,2527,2660,2384,2132,2054,212,967,2283,2386,2390,2826,2814,2397,2934,2362,2368,2435,2771,2650,246,1042,1043,1119,992,1061,2583,2105,456,108,2169,361,300,1004,674,1755
2903	1	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,963,609,2384,3496,2827,32,29,1649,561,2261,1190,1436,1375,1510,1205,1637,1334,456,310,360,298,1157,2092,1043,576,964,106,1103,3094,3027,612,500,2902,3497,3068,623,351,3383,3339,3298,246,517,1042,1046,1084,813,1114,2632,3297,1056,971,3085,992,1207,1748,1209,3138,994,3294,2106,2648,1738,2318,1841,1208,24,1760,1204,1382,1206,1612,2242,2054,212,2851,2036,2623
4620	0	2	7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,517,41,968,1078,232,1003,1039,152,1563,2030,2369,1543,658
428	1	4	16	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,1750,1457,2095,1109,337,473,2299,1833,968,11,39,1850,358,1463,745,444,568,238,224,213,669,633
2636	1	6	13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,106,3508,3491,3480,999,799,3158,1138,34,911,1120,2464,1079,1,1114,1148,3118,1151,2051,2054,2058,3267,1806,2470,2986,1424,1122,337,3162,745,841,955,3424,2083,476,1833,1066,2106,893,2233,299,1213,361,1870,559,2168,3135,1861,444,349,133,2003,1265,558,2135,1383,1201
5680	1	2	11	578,622,2728,2335,2307,1637,702,1222,2374,1157,310,2691,677,298,2012,1918,609,1648,1044,1043,1118,1103,2540,563,2105,2650,666,1061,1119,108,605,1378,10,1840,361,1858,2297,198,2397,440,15,3010,759,1078,1218,2614,1086,919,2904,1064,1068,1400,1727,2186,3184,2739,2156,1589,929,2064,2113,1978,357,442,1295,300,107,1059,1004,1054,674,1110,2435,1102,576,999,963,2477,3085,2283,2461,2464,2483,1136,954,1069,1109,953,276,223,2765,1326,329,140,1174,2802,2857,1126,1994,3039
4110	1	5	0	506,305,167,350,80,1957,710,2760,1496,2020,2544,2501,1976,197,1394,600,1893,706,1916,2015,3027,3123,661,850,1865,2827,211,1434,1522,921,3113,2897,1468,737,1009,683,2517,2600,3034,2456,2458,3515,948,1278,165,1943,139,769,1884,622,2560,512,2398,2478,479,688,2239,3266,3165,3532,2949,3215,556,2309,2811,2800,2436,238,1891,1201,2558,160,2442,2810,1011,2935,1900,3002,2927,3133,3478,1658,2808,2871,2781,617,2554,2485,3126,2266,733,2965,2774,2498,901,735,1511,2484,3496,2999
2499	1	2	17	0,0,0,0,0,0,0,1042,337,964,1689,2803,2527,1103,458,3498,106,1994,2464,3497,1105,526,457,759,1044,1067,246,300,279,50,1059,963,576,517,1060,2435,3039,2461,919,1054,212,1071,813,47,999,1052,1091,1120,1225,1043,1724,1080,2623,1088,1087,953,1126,276,700,1413,289,1992,1801,1191,940,25,971,1135,1151,1313,2711,2821,2751,2765,1027,2632,1375,1121,1119,2718,1727,2526,808,1142,2335,1806,2419,1812,967,345,914,1407,949,1899,1695,1886,2307,1918,1830,1748
1576	1	3	7	1043,2756,1955,1224,1692,802,1678,960,1801,2272,966,2532,3319,808,1126,2613,1675,72,1132,911,918,2813,2526,2255,1066,1213,1142,967,2546,3053,2650,2632,2470,949,1742,1830,1481,244,759,1680,2477,1053,300,1040,977,3082,1684,812,232,2369,1789,2840,1044,1106,1135,2821,841,666,2583,2223,669,3506,298,1204,799,1136,2988,1122,3077,1225,1120,1079,2051,3153,1080,3115,2585,1148,2464,3039,798,3042,3137,1686,1271,3267,3069,990,2986,2883,2892,2198,1696,1727,2894,3066,1869,2949,1875,2857
5872	0	4	0	0,0,0,0,0,0,0,1470,2174,1692,636,1415,1407,1973,1548,1413,1751,1283,154,427,468,2272,1485,2703,1637,1622,316,456,2827,29,1061,10,1371,1205,1771,2,1352,1078,2368,1640,6,1981,153,1296,1450,2739,21,2436,2284,530,1492,2092,2498,155,1334,28,2260,2142,2095,17,2474,1109,276,39,251,2765,2040,1224,1833,968,1994,1466,1896,1173,338,745,1627,2447,423,1059,50,576,2579,1027,2090,765,2269,2236,1285,1313,47,883,2274,1510,2435,564,354,1093,1569,218
633	1	4	17	974,3112,2609,1224,1850,337,416,141,1491,2898,1364,473,7,568,559,515,361,1277,2202,2908,1733,342,2123,1546,1570,73,1187,2017,343,1618,1237,1624,2193,2039,710,958,2886,1729,1210,1646,1358,2255,915,1821,905,918,3213,566,345,526,705,2654,3130,2228,1219,2066,2225,106,843,842,2326,2097,971,1090,1135,1146,3184,140,1375,829,61,972,467,1685,1097,808,895,1636,1690,2757,1138,2363,560,1802,3066,1115,2349,1205,806,2909,2845,1746,2452,1820,2098,1779,2152,562,2109,2110
2741	1	1	1	0,0,0,0,0,0,0,2730,246,26,971,2802,564,503,2095,1,1755,2435,2527,2771,1407,279,1109,2029,1192,566,2036,456,106,560,490,1465,1400,358,61,2375,1422,2583,2004,1651,666,153,1491,1086,1054,679,1046,151,1688,3059,1222,3480,3027,3467,3184,2261,1371,1205,1424,433,450,2052,1597,361,2681,135,2892,1326,3399,940,1833,1533,2711,2262,1509,348,1404,133,1362,1364,47,50,108,1463,939,759,1044,1043,919,1682,1135,3334,1727,992,1209,2105,3062,1918,3165,974
1923	0	1	4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360,2909,992,2262,2527,2380,3145,2660,2499,2443,2639,2370,2576,2235,2036,3027,2286,2283,2364,2390,2033,3184,246,1042,564,50,1044,1407,279,657,1065,1056,2899,576,2024,2585,1151,2464,1422,3094,3166,3221,3126,3346,3197,2935,3220
1294	1	2	14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733,1546,1056,1594,2558,337,756,2957,3165,3416,2932,3027,2948,3220
1619	0	1	17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,2623,165,1114,1103,3476,3480,1096,3279,2650,1510,3123,3094,3146,2949,3145,3221,3227,3027,1040,1044,1075,3047,50,1004,808,564,2527,2987,300,3346,3380
